movieId,title,genres,movie_url,poster,director
11,"American President, The (1995)",Comedy|Drama|Romance,https://www.imdb.com/title/tt0112346/,"https://m.media-amazon.com/images/M/MV5BNjhkMmU0M2YtZDUwYi00OWE0LWI5NTktODBjNDc1M2ZlMjI4XkEyXkFqcGdeQXVyNDAxNjkxNjQ@._V1_UX182_CR0,0,182,268_AL__QL50.jpg",Rob Reiner
12,Dracula: Dead and Loving It (1995),Comedy|Horror,https://www.imdb.com/title/tt0112896/,"https://m.media-amazon.com/images/M/MV5BZWQ0ZDFmYzMtZGMyMi00NmYxLWE0MGYtYzM2ZGNhMTE1NTczL2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyMjM5ODMxODc@._V1_UX182_CR0,0,182,268_AL__QL50.jpg",Mel Brooks
13,Balto (1995),Adventure|Animation|Children,https://www.imdb.com/title/tt0112453/,"https://m.media-amazon.com/images/M/MV5BMjBhNmFlZjMtMzhlYy00NDBlLWFiMjctMmE0ZjgwOGM2MTNmXkEyXkFqcGdeQXVyNjExODE1MDc@._V1_UX182_CR0,0,182,268_AL__QL50.jpg",Simon Wells
14,Nixon (1995),Drama,https://www.imdb.com/title/tt0113987/,"https://m.media-amazon.com/images/M/MV5BNzBlOWY0ZmEtZjdkYS00ZGU0LWEwN2YtYzBkNDM5ZDBjMmI1XkEyXkFqcGdeQXVyMTAwMzUyOTc@._V1_UX182_CR0,0,182,268_AL__QL50.jpg",Oliver Stone
15,Cutthroat Island (1995),Action|Adventure|Romance,https://www.imdb.com/title/tt0112760/,"https://m.media-amazon.com/images/M/MV5BMDg2YTI0YmQtYzgwMi00Zjk4LWJkZjgtYjg0ZDE2ODUzY2RlL2ltYWdlXkEyXkFqcGdeQXVyNjQzNDI3NzY@._V1_UX182_CR0,0,182,268_AL__QL50.jpg",Renny Harlin
16,Casino (1995),Crime|Drama,https://www.imdb.com/title/tt0112641/,"https://m.media-amazon.com/images/M/MV5BMTcxOWYzNDYtYmM4YS00N2NkLTk0NTAtNjg1ODgwZjAxYzI3XkEyXkFqcGdeQXVyNTA4NzY1MzY@._V1_UX182_CR0,0,182,268_AL__QL50.jpg",Martin Scorsese
17,Sense and Sensibility (1995),Drama|Romance,https://www.imdb.com/title/tt0114388/,"https://m.media-amazon.com/images/M/MV5BNzk1MjU3MDQyMl5BMl5BanBnXkFtZTcwNjc1OTM2MQ@@._V1_UX182_CR0,0,182,268_AL__QL50.jpg",Ang Lee
18,Four Rooms (1995),Comedy,https://www.imdb.com/title/tt0113101/,"https://m.media-amazon.com/images/M/MV5BNDc3Y2YwMjUtYzlkMi00MTljLTg1ZGMtYzUwODljZTI1OTZjXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_UX182_CR0,0,182,268_AL__QL50.jpg",Allison Anders
19,Ace Ventura: When Nature Calls (1995),Comedy,https://www.imdb.com/title/tt0112281/,"https://m.media-amazon.com/images/M/MV5BNGFiYTgxZDctNGI4OS00MWU1LWIwOGUtZmMyNGQxYjVkZjQ3XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_UX182_CR0,0,182,268_AL__QL50.jpg",Steve Oedekerk
20,Money Train (1995),Action|Comedy|Crime|Drama|Thriller,https://www.imdb.com/title/tt0113845/,"https://m.media-amazon.com/images/M/MV5BYWZlMzIwYzYtOWZiMi00ZGEzLWFhYmQtNmEzYzJlNDg1NjhjXkEyXkFqcGdeQXVyNTAyODkwOQ@@._V1_UX182_CR0,0,182,268_AL__QL50.jpg",Joseph Ruben
21,Get Shorty (1995),Comedy|Crime|Thriller,https://www.imdb.com/title/tt0113161/,"https://m.media-amazon.com/images/M/MV5BMjAwODYzNDY4Ml5BMl5BanBnXkFtZTcwODkwNTgzNA@@._V1_UX182_CR0,0,182,268_AL__QL50.jpg",Barry Sonnenfeld
22,Copycat (1995),Crime|Drama|Horror|Mystery|Thriller,https://www.imdb.com/title/tt0112722/,"https://m.media-amazon.com/images/M/MV5BYWUwNDk2ZDYtNmFkMi00NjE5LWE1M2ItYTRkNTFjZDU3ZDU4L2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyMTYxNjkxOQ@@._V1_UX182_CR0,0,182,268_AL__QL50.jpg",Jon Amiel
23,Assassins (1995),Action|Crime|Thriller,https://www.imdb.com/title/tt0112401/,"https://m.media-amazon.com/images/M/MV5BZGI1NDA4ZDItNTRjMi00YTU3LTkwZDEtYjdlNTI1ZjQxZDM1XkEyXkFqcGdeQXVyNDc2NjEyMw@@._V1_UY268_CR12,0,182,268_AL__QL50.jpg",Richard Donner
24,Powder (1995),Drama|Sci-Fi,https://www.imdb.com/title/tt0114168/,"https://m.media-amazon.com/images/M/MV5BOGUzYzNiZTItYmZlNi00ODI1LThjNTMtNjI1MTNlZDQ0OGY2XkEyXkFqcGdeQXVyNjExODE1MDc@._V1_UX182_CR0,0,182,268_AL__QL50.jpg",Victor Salva
25,Leaving Las Vegas (1995),Drama|Romance,https://www.imdb.com/title/tt0113627/,"https://m.media-amazon.com/images/M/MV5BNDg3MDM5NTI0MF5BMl5BanBnXkFtZTcwNDY0NDk0NA@@._V1_UX182_CR0,0,182,268_AL__QL50.jpg",Mike Figgis
26,Othello (1995),Drama,https://www.imdb.com/title/tt0114057/,"https://m.media-amazon.com/images/M/MV5BNzVlMjhjYzctNjQ4My00OGMwLThmZTktODE4MWI3NzNkOWYyXkEyXkFqcGdeQXVyNjMwMjk0MTQ@._V1_UX182_CR0,0,182,268_AL__QL50.jpg",Oliver Parker
27,Now and Then (1995),Children|Drama,https://www.imdb.com/title/tt0114011/,"https://m.media-amazon.com/images/M/MV5BMTM2MDQ1YjUtMGM0NC00NmFlLTljMDktZjJiNWRhMWYxOWYyXkEyXkFqcGdeQXVyNjgzMjI4ODE@._V1_UX182_CR0,0,182,268_AL__QL50.jpg",Lesli Linka Glatter
28,Persuasion (1995),Drama|Romance,https://www.imdb.com/title/tt0114117/,"https://m.media-amazon.com/images/M/MV5BMTc5NzAwNDAyN15BMl5BanBnXkFtZTYwMjYzMDc5._V1_UY268_CR1,0,182,268_AL__QL50.jpg",Roger Michell
29,"City of Lost Children, The (Cité des enfants perdus, La) (1995)",Adventure|Drama|Fantasy|Mystery|Sci-Fi,https://www.imdb.com/title/tt0112682/,"https://m.media-amazon.com/images/M/MV5BZGQxZDMwYzYtYmFjNi00NWYyLThjZjAtMDJhODZhYTkyZDNhXkEyXkFqcGdeQXVyNTAyODkwOQ@@._V1_UY268_CR7,0,182,268_AL__QL50.jpg",Marc Caro
30,Shanghai Triad (Yao a yao yao dao waipo qiao) (1995),Crime|Drama,https://www.imdb.com/,https://www.fcmlindia.com/images/fifty-days-campaign/no-image.jpg,NA
31,Dangerous Minds (1995),Drama,https://www.imdb.com/title/tt0112792/,"https://m.media-amazon.com/images/M/MV5BZjk2YjNkYTYtOTZkNy00ZmRkLWI5ODEtYzA4MTM3MzMyZjhlXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_UX182_CR0,0,182,268_AL__QL50.jpg",John N. Smith
32,Twelve Monkeys (a.k.a. 12 Monkeys) (1995),Mystery|Sci-Fi|Thriller,https://www.imdb.com/,https://www.fcmlindia.com/images/fifty-days-campaign/no-image.jpg,NA
34,Babe (1995),Children|Drama,https://www.imdb.com/title/tt0112431/,"https://m.media-amazon.com/images/M/MV5BYjg4ZjUzMzMtYzlmYi00YTcwLTlkOWUtYWFmY2RhNjliODQzXkEyXkFqcGdeQXVyNTUyMzE4Mzg@._V1_UX182_CR0,0,182,268_AL__QL50.jpg",Chris Noonan
36,Dead Man Walking (1995),Crime|Drama,https://www.imdb.com/title/tt0112818/,"https://m.media-amazon.com/images/M/MV5BMTM3NzA1MjM2N15BMl5BanBnXkFtZTcwMzY3MTMzNA@@._V1_UX182_CR0,0,182,268_AL__QL50.jpg",Tim Robbins
38,It Takes Two (1995),Children|Comedy,https://www.imdb.com/title/tt0113442/,"https://m.media-amazon.com/images/M/MV5BMzdhMGU0MzEtZjg1Ny00YzE5LWE0MGQtMTNiN2UwN2I5ZDBjXkEyXkFqcGdeQXVyNTgzMzU5MDI@._V1_UX182_CR0,0,182,268_AL__QL50.jpg",Andy Tennant
39,Clueless (1995),Comedy|Romance,https://www.imdb.com/title/tt0112697/,"https://m.media-amazon.com/images/M/MV5BMzBmOGQ0NWItOTZjZC00ZDAxLTgyOTEtODJiYWQ2YWNiYWVjXkEyXkFqcGdeQXVyNTE1NjY5Mg@@._V1_UX182_CR0,0,182,268_AL__QL50.jpg",Amy Heckerling
40,"Cry, the Beloved Country (1995)",Drama,https://www.imdb.com/title/tt0112749/,"https://m.media-amazon.com/images/M/MV5BMTcwMDU1OTEwOF5BMl5BanBnXkFtZTcwMTg5NjEyMQ@@._V1_UY268_CR3,0,182,268_AL__QL50.jpg",Darrell Roodt
41,Richard III (1995),Drama|War,https://www.imdb.com/title/tt0114279/,"https://m.media-amazon.com/images/M/MV5BOWI3NjhhZDItNWQ2NS00Zjg0LWIzMjctNzY0MjRmNzkyYzVmXkEyXkFqcGdeQXVyMTA0MjU0Ng@@._V1_UX182_CR0,0,182,268_AL__QL50.jpg",Richard Loncraine
42,Dead Presidents (1995),Action|Crime|Drama,https://www.imdb.com/title/tt0112819/,"https://m.media-amazon.com/images/M/MV5BNjdhZWEzMzEtMjNhZS00OThhLWFiZWUtM2EwMWU5MWE0MDA4XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_UX182_CR0,0,182,268_AL__QL50.jpg",Albert Hughes
43,Restoration (1995),Drama,https://www.imdb.com/title/tt0114272/,"https://m.media-amazon.com/images/M/MV5BZmQwODk5ZGItMDk5OS00MjU4LTgyYmUtYTBiMTFhYWM5MDY4XkEyXkFqcGdeQXVyMTMxMTY0OTQ@._V1_UX182_CR0,0,182,268_AL__QL50.jpg",Michael Hoffman
44,Mortal Kombat (1995),Action|Adventure|Fantasy,https://www.imdb.com/title/tt0113855/,"https://m.media-amazon.com/images/M/MV5BNjY5NTEzZGItMGY3My00NzE4LThkYTUtYjJkNzk3MDBiMWE3XkEyXkFqcGdeQXVyNzg5MDE1MDk@._V1_UX182_CR0,0,182,268_AL__QL50.jpg",Paul W.S. Anderson
45,To Die For (1995),Comedy|Drama|Thriller,https://www.imdb.com/title/tt0114681/,"https://m.media-amazon.com/images/M/MV5BNGZhYzgwNzItNDljNC00MDM4LThiYjEtNDRhNmE5NDk2MTQ0XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_UX182_CR0,0,182,268_AL__QL50.jpg",Gus Van Sant
46,How to Make an American Quilt (1995),Drama|Romance,https://www.imdb.com/title/tt0113347/,"https://m.media-amazon.com/images/M/MV5BNGYwZmZkYWItNjdmMi00MjI2LThmOGYtMmI1NTQ0OWQ1YWIxXkEyXkFqcGdeQXVyNzA5NjUyNjM@._V1_UX182_CR0,0,182,268_AL__QL50.jpg",Jocelyn Moorhouse
47,Seven (a.k.a. Se7en) (1995),Mystery|Thriller,https://www.imdb.com/,https://www.fcmlindia.com/images/fifty-days-campaign/no-image.jpg,NA
48,Pocahontas (1995),Animation|Children|Drama|Musical|Romance,https://www.imdb.com/title/tt0114148/,"https://m.media-amazon.com/images/M/MV5BMzc4YzhiN2ItY2Y4NC00YTA0LWEyMjEtNzllNTcxZDdjODhiXkEyXkFqcGdeQXVyNTUyMzE4Mzg@._V1_UX182_CR0,0,182,268_AL__QL50.jpg",Mike Gabriel
49,When Night Is Falling (1995),Drama|Romance,https://www.imdb.com/title/tt0114916/,"https://m.media-amazon.com/images/M/MV5BNGUxMDM1ODEtZjhjZi00NjVjLWEwNmUtNmZmOTQ1MzQxNmQ3XkEyXkFqcGdeQXVyMTMxMTY0OTQ@._V1_UY268_CR1,0,182,268_AL__QL50.jpg",Patricia Rozema
50,"Usual Suspects, The (1995)",Crime|Mystery|Thriller,https://www.imdb.com/title/tt9422720/,https://www.fcmlindia.com/images/fifty-days-campaign/no-image.jpg,NA
52,Mighty Aphrodite (1995),Comedy|Drama|Romance,https://www.imdb.com/title/tt0113819/,"https://m.media-amazon.com/images/M/MV5BMGM1NzM2ZjktNDM5ZS00YmExLTk5ZmYtNDdkNjdkNTdhZWZkXkEyXkFqcGdeQXVyNjE5MjUyOTM@._V1_UX182_CR0,0,182,268_AL__QL50.jpg",Woody Allen
53,Lamerica (1994),Adventure|Drama,https://www.imdb.com/title/tt0110299/,"https://m.media-amazon.com/images/M/MV5BNjlmZmQ0ZGUtNTBjYy00ZTg3LWE1NmMtNDAyNDI2Zjc4ZDViXkEyXkFqcGdeQXVyMzIwNDY4NDI@._V1_UX182_CR0,0,182,268_AL__QL50.jpg",Gianni Amelio
54,"Big Green, The (1995)",Children|Comedy,https://www.imdb.com/title/tt0112499/,"https://m.media-amazon.com/images/M/MV5BNmY4NWVkM2UtY2FkZC00NWJiLTg5N2EtYzk4NjJkMGE0YzA3XkEyXkFqcGdeQXVyNTM5NzI0NDY@._V1_UX182_CR0,0,182,268_AL__QL50.jpg",Holly Goldberg Sloan
55,Georgia (1995),Drama,https://www.imdb.com/title/tt0113158/,"https://m.media-amazon.com/images/M/MV5BZWJiNjMwYzMtZWU5Yi00NGI0LTg5NGYtZDY4MWRiYjEwYTYzXkEyXkFqcGdeQXVyMTAwMzUyOTc@._V1_UX182_CR0,0,182,268_AL__QL50.jpg",Ulu Grosbard
57,Home for the Holidays (1995),Drama,https://www.imdb.com/title/tt0113321/,"https://m.media-amazon.com/images/M/MV5BMjVlYTQ4NjgtZWQxMS00ZmQ0LTg4M2QtOGE0ZmJiNDhkMzI4XkEyXkFqcGdeQXVyNTIzOTk5ODM@._V1_UX182_CR0,0,182,268_AL__QL50.jpg",Jodie Foster
58,"Postman, The (Postino, Il) (1994)",Comedy|Drama|Romance,https://www.imdb.com/title/tt0110877/,"https://m.media-amazon.com/images/M/MV5BZmVhNWIzOTMtYmVlZC00ZDVmLWIyODEtODEzOTAxYjAwMzVlXkEyXkFqcGdeQXVyMzIwNDY4NDI@._V1_UY268_CR2,0,182,268_AL__QL50.jpg",Michael Radford
60,"Indian in the Cupboard, The (1995)",Adventure|Children|Fantasy,https://www.imdb.com/title/tt0113419/,"https://m.media-amazon.com/images/M/MV5BZWZlYmZiZGMtN2YyZC00MTdjLTllNjUtYWNhZDMwNDhhOTM1XkEyXkFqcGdeQXVyNTI4MjkwNjA@._V1_UX182_CR0,0,182,268_AL__QL50.jpg",Frank Oz
61,Eye for an Eye (1996),Drama|Thriller,https://www.imdb.com/title/tt0116260/,"https://m.media-amazon.com/images/M/MV5BMDM4Mzc5ZjAtM2JjMi00NzU1LWEzM2MtNDQzNWI5MmRkM2I1XkEyXkFqcGdeQXVyNTAyODkwOQ@@._V1_UX182_CR0,0,182,268_AL__QL50.jpg",John Schlesinger
62,Mr. Holland's Opus (1995),Drama,https://www.imdb.com/title/tt0113862/,"https://m.media-amazon.com/images/M/MV5BZDZhNDRlZjAtYzdhNy00ZjU1LWFlMDYtNjA5NjliM2Y5ZmVjL2ltYWdlXkEyXkFqcGdeQXVyNjE5MjUyOTM@._V1_UX182_CR0,0,182,268_AL__QL50.jpg",Stephen Herek
63,Don't Be a Menace to South Central While Drinking Your Juice in the Hood (1996),Comedy|Crime,https://www.imdb.com/title/tt0116126/,"https://m.media-amazon.com/images/M/MV5BY2NmM2M2MWItNjdlMC00ZWI3LTkwODUtZDNkYWZjYjgzZjY3XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_UX182_CR0,0,182,268_AL__QL50.jpg",Paris Barclay
64,Two if by Sea (1996),Comedy|Romance,https://www.imdb.com/title/tt0118002/,"https://m.media-amazon.com/images/M/MV5BY2YwZjVkMjItYjY4Yy00M2QyLTg0Y2MtYmFiNTgzMjNmMmQzXkEyXkFqcGdeQXVyNzc5MjA3OA@@._V1_UX182_CR0,0,182,268_AL__QL50.jpg",Bill Bennett
65,Bio-Dome (1996),Comedy,https://www.imdb.com/title/tt0115683/,"https://m.media-amazon.com/images/M/MV5BYzY0ZjI0NTUtNDE4Yi00OGU2LWExZDMtNTY1MTM3ZWE3MzEyXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_UX182_CR0,0,182,268_AL__QL50.jpg",Jason Bloom
66,Lawnmower Man 2: Beyond Cyberspace (1996),Action|Sci-Fi|Thriller,https://www.imdb.com/title/tt0116839/,"https://m.media-amazon.com/images/M/MV5BZGI0ZDZhOGUtZDZiOS00NWE2LThjNzQtYzI3ZGFjODUwZjlkXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_UX182_CR0,0,182,268_AL__QL50.jpg",Farhad Mann
68,French Twist (Gazon maudit) (1995),Comedy|Romance,https://www.imdb.com/title/tt0113149/,"https://m.media-amazon.com/images/M/MV5BMWEwNWY1ZjQtYWMxYS00ZDY2LTg2Y2YtZDc5MTM4MzE0NTM4XkEyXkFqcGdeQXVyNDE5MTU2MDE@._V1_UY268_CR1,0,182,268_AL__QL50.jpg",Josiane Balasko
69,Friday (1995),Comedy,https://www.imdb.com/title/tt0113118/,"https://m.media-amazon.com/images/M/MV5BYmEwNjNlZTUtNzkwMS00ZTlhLTkyY2MtMjM2MzlmODQyZGVhXkEyXkFqcGdeQXVyNTI4MjkwNjA@._V1_UX182_CR0,0,182,268_AL__QL50.jpg",F. Gary Gray
70,From Dusk Till Dawn (1996),Action|Comedy|Horror|Thriller,https://www.imdb.com/title/tt0116367/,"https://m.media-amazon.com/images/M/MV5BZjk3YmZhMDAtOWUzMS00YjE5LTkxNzAtY2I1NGZjMDA2ZTk0XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_UX182_CR0,0,182,268_AL__QL50.jpg",Robert Rodriguez
71,Fair Game (1995),Action,https://www.imdb.com/title/tt0113010/,"https://m.media-amazon.com/images/M/MV5BMTE4M2Q2ZjctMGViNS00NzhiLWFkMjMtMjY2NWMzOWUzM2Y3XkEyXkFqcGdeQXVyNjU0NTI0Nw@@._V1_UX182_CR0,0,182,268_AL__QL50.jpg",Andrew Sipes
72,Kicking and Screaming (1995),Comedy|Drama,https://www.imdb.com/title/tt0113537/,"https://m.media-amazon.com/images/M/MV5BNWU2YjdlN2ItNTk2OS00MzMwLTlhYjctNDI0MDI0NTQ3OWY0XkEyXkFqcGdeQXVyNzI1NzMxNzM@._V1_UX182_CR0,0,182,268_AL__QL50.jpg",Noah Baumbach
73,"Misérables, Les (1995)",Drama|War,https://www.imdb.com/title/tt0113828/,"https://m.media-amazon.com/images/M/MV5BZWE2ZDg2ODQtMDIwMi00NGE3LWEzZWMtNzBjZDExNGJmMGVhXkEyXkFqcGdeQXVyNjA0Mzc0MzI@._V1_UY268_CR7,0,182,268_AL__QL50.jpg",Claude Lelouch
74,Bed of Roses (1996),Drama|Romance,https://www.imdb.com/title/tt0115644/,"https://m.media-amazon.com/images/M/MV5BNTUwOWM4YmUtMzdkMi00YjEwLWE0MmEtZTBmMGNhYWU4OGI3XkEyXkFqcGdeQXVyNzc5MjA3OA@@._V1_UX182_CR0,0,182,268_AL__QL50.jpg",Michael Goldenberg
75,Big Bully (1996),Comedy|Drama,https://www.imdb.com/title/tt0115676/,"https://m.media-amazon.com/images/M/MV5BNDdhZTdiOTAtMWNiMC00NDRmLTllZWItYWMzOWZjNDY3ZmRiXkEyXkFqcGdeQXVyNjMwMjk0MTQ@._V1_UX182_CR0,0,182,268_AL__QL50.jpg",Steve Miner
76,Screamers (1995),Action|Sci-Fi|Thriller,https://www.imdb.com/title/tt0114367/,"https://m.media-amazon.com/images/M/MV5BM2M2ZGM0NDUtODRhNS00MjcxLTg3ZWYtYjkyZDJkYmVjOWYwXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_UX182_CR0,0,182,268_AL__QL50.jpg",Christian Duguay
77,Nico Icon (1995),Documentary,https://www.imdb.com/title/tt0113973/,"https://m.media-amazon.com/images/M/MV5BNTY2MDM2NzcyM15BMl5BanBnXkFtZTcwMjk3MzcyMQ@@._V1_UY268_CR0,0,182,268_AL__QL50.jpg",Susanne Ofteringer
78,"Crossing Guard, The (1995)",Action|Crime|Drama|Thriller,https://www.imdb.com/title/tt10129264/,https://www.fcmlindia.com/images/fifty-days-campaign/no-image.jpg,NA
79,"Juror, The (1996)",Drama|Thriller,https://www.imdb.com/title/tt0116731/,"https://m.media-amazon.com/images/M/MV5BYTMzNjAyZTktNzRjMS00ZThmLTk5ODEtZWI5ZmYyZGNiNzMxXkEyXkFqcGdeQXVyNjU0NTI0Nw@@._V1_UX182_CR0,0,182,268_AL__QL50.jpg",Brian Gibson
80,"White Balloon, The (Badkonake sefid) (1995)",Children|Drama,https://www.imdb.com/title/tt0112445/,"https://m.media-amazon.com/images/M/MV5BN2QzOTY0MjAtMDQ4MC00MTQ3LWIxM2UtZjc5MzkxYjRhZjdjXkEyXkFqcGdeQXVyNjkxOTM4ODY@._V1_UY268_CR9,0,182,268_AL__QL50.jpg",Jafar Panahi
81,Things to Do in Denver When You're Dead (1995),Crime|Drama|Romance,https://www.imdb.com/title/tt0114660/,"https://m.media-amazon.com/images/M/MV5BMzI0OWEzZmItOGUyOC00M2Y2LWIzNDEtY2EzYzAwNWI0ZDkyXkEyXkFqcGdeQXVyNTc1NTQxODI@._V1_UX182_CR0,0,182,268_AL__QL50.jpg",Gary Fleder
82,Antonia's Line (Antonia) (1995),Comedy|Drama,https://www.imdb.com/title/tt0112379/,"https://m.media-amazon.com/images/M/MV5BNDVmNjdhMzEtNDMzMy00NzI0LWI1ZmUtNjJiNGEzMDExZDY5XkEyXkFqcGdeQXVyMjM5NDQzNTk@._V1_UY268_CR0,0,182,268_AL__QL50.jpg",Marleen Gorris
83,Once Upon a Time... When We Were Colored (1995),Drama|Romance,https://www.imdb.com/title/tt0114039/,"https://m.media-amazon.com/images/M/MV5BY2VmOWI4MzMtZmExYy00ZjNhLTk1Y2YtN2Q2ODkwMWViNDNkXkEyXkFqcGdeQXVyNjMwMjk0MTQ@._V1_UY268_CR0,0,182,268_AL__QL50.jpg",Tim Reid
85,Angels and Insects (1995),Drama|Romance,https://www.imdb.com/title/tt0112365/,"https://m.media-amazon.com/images/M/MV5BZTc1MzY1ODAtMDhlMS00NjgyLTlkNTEtZTUwYTM4MzFkNWNmXkEyXkFqcGdeQXVyNDE5MTU2MDE@._V1_UY268_CR1,0,182,268_AL__QL50.jpg",Philip Haas
86,White Squall (1996),Action|Adventure|Drama,https://www.imdb.com/title/tt0118158/,"https://m.media-amazon.com/images/M/MV5BNzdlZTBmYjgtZWRlZC00MDI0LTkxNzUtODdhYWYwYmJiMjY3XkEyXkFqcGdeQXVyMTY4MjE1MDA@._V1_UX182_CR0,0,182,268_AL__QL50.jpg",Ridley Scott
87,Dunston Checks In (1996),Children|Comedy,https://www.imdb.com/title/tt0116151/,"https://m.media-amazon.com/images/M/MV5BN2RhOTA4YzAtNTg3NC00NmYxLWI1YjQtYzM4NTJlYzVhZGYwXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_UX182_CR0,0,182,268_AL__QL50.jpg",Ken Kwapis
88,Black Sheep (1996),Comedy,https://www.imdb.com/title/tt0115697/,"https://m.media-amazon.com/images/M/MV5BYjc2NzU0YjUtYzkyNS00NjcwLWJiM2QtM2Y3YjFhMTQ0M2I3XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_UX182_CR0,0,182,268_AL__QL50.jpg",Penelope Spheeris
89,Nick of Time (1995),Action|Thriller,https://www.imdb.com/title/tt0113972/,"https://m.media-amazon.com/images/M/MV5BODg1ODNjMzItYjRkMS00NmExLTkxNWUtMWYwNWM2NDU1YzU1XkEyXkFqcGdeQXVyNTAyODkwOQ@@._V1_UY268_CR1,0,182,268_AL__QL50.jpg",John Badham
92,Mary Reilly (1996),Drama|Horror|Thriller,https://www.imdb.com/title/tt0117002/,"https://m.media-amazon.com/images/M/MV5BZWI5MzBiMjgtNDE2ZC00MTA1LWFmNWItZDQyMDA2NGE0MjQ5XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_UX182_CR0,0,182,268_AL__QL50.jpg",Stephen Frears
